"","date","year","julian","site","bay","species","length","cod.cpue"
"1",2009-07-16,2009,196,"Middle cove","Cook Bay","pcod",44,0
"2",2009-07-16,2009,196,"Bare North","Cook Bay","pcod",38,0
"3",2009-07-16,2009,196,"Bare North","Cook Bay","pcod",38,0
"4",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",71,0
"5",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",85,0
"6",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",55,0
"7",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",71,0
"8",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",70,0
"9",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",80,0
"10",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",80,0
"11",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",61,0
"12",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",67,0
"13",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",68,0
"14",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",67,0
"15",2016-07-16,2016,197,"Laminaria South","Cook Bay","pcod",57,0
"16",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",69,0
"17",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",78,0
"18",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",60,0
"19",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",64,0
"20",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",63,0
"21",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",68,0
"22",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",86,0
"23",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",59,0
"24",2018-07-16,2018,196,"Back Bay eelgrass","Anton Larson Bay","pcod",90,0
