"","julian","estimate__","percent_decline"
"1",184,361.352051699775,0
"2",184.585858585859,351.263664596,2.79184442327638
"3",185.171717171717,343.275817711643,5.00238864096738
"4",185.757575757576,335.148664440356,7.25148428967267
"5",186.343434343434,326.914283540346,9.5302539441623
"6",186.929292929293,317.34957247823,12.1771770810655
"7",187.515151515152,308.064088208624,14.746827433382
"8",188.10101010101,300.144031155346,16.9386115995499
"9",188.686868686869,292.115125233466,19.1605184308828
"10",189.272727272727,285.386675108362,21.0225391648054
"11",189.858585858586,278.896362704428,22.8186580392948
"12",190.444444444444,271.005410529326,25.0023877671274
"13",191.030303030303,263.280265073924,27.1402324034217
"14",191.616161616162,256.497857930027,29.0171851180923
"15",192.20202020202,250.332183396565,30.7234642175076
"16",192.787878787879,244.342853266276,32.3809420433885
"17",193.373737373737,237.186584430704,34.3613566562042
"18",193.959595959596,231.104726330654,36.0444405273048
"19",194.545454545455,224.947713935745,37.7483224800838
"20",195.131313131313,219.581263194277,39.2334256409002
"21",195.717171717172,213.744174271474,40.8487724738143
"22",196.30303030303,208.534798535173,42.2904069440757
"23",196.888888888889,203.002781836203,43.821328568278
"24",197.474747474747,197.673208930663,45.2962262146232
"25",198.060606060606,192.667376621139,46.6815323962199
"26",198.646464646465,187.404381264039,48.138005476238
"27",199.232323232323,183.113417206101,49.3254801391751
"28",199.818181818182,178.468714257598,50.6108479478409
"29",200.40404040404,173.971489234909,51.8554029466392
"30",200.989898989899,169.773095585015,53.0172598200525
"31",201.575757575758,165.698410664774,54.1448817336612
"32",202.161616161616,161.754923199161,55.2361962694615
"33",202.747474747475,157.638042290996,56.3754954345831
"34",203.333333333333,154.248754394117,57.3134416510046
"35",203.919191919192,150.745513163806,58.2829231341819
"36",204.505050505051,147.360230057902,59.2197610710303
"37",205.090909090909,144.153988532723,60.1070513216591
"38",205.676767676768,140.926868542917,61.0001194458404
"39",206.262626262626,138.065216742885,61.7920484764275
"40",206.848484848485,135.349023531428,62.5437235253667
"41",207.434343434343,132.647106449089,63.291447820726
"42",208.020202020202,129.991803271088,64.0262722573138
"43",208.606060606061,127.245315952221,64.7863308500207
"44",209.191919191919,124.619090235861,65.5131084354823
"45",209.777777777778,122.199012050637,66.1828370765237
"46",210.363636363636,119.850811493696,66.8326744154556
"47",210.949494949495,117.524310425135,67.476506672009
"48",211.535353535354,115.47622340937,68.0432910602894
"49",212.121212121212,113.454076894289,68.6028967150984
"50",212.707070707071,111.600988179766,69.1157175793516
"51",213.292929292929,109.728765417274,69.6338335700275
"52",213.878787878788,107.996132018574,70.1133198191162
"53",214.464646464646,106.256086422473,70.5948573080874
"54",215.050505050505,104.744992099526,71.0130351808401
"55",215.636363636364,103.299338266742,71.41310315499
"56",216.222222222222,101.855363934233,71.8127063468679
"57",216.808080808081,100.420295702714,72.2098448783273
"58",217.393939393939,99.1458542133599,72.5625318171062
"59",217.979797979798,97.9647725805025,72.8893824956346
"60",218.565656565657,96.5975157237275,73.2677550136108
"61",219.151515151515,95.3672475396337,73.6082175011785
"62",219.737373737374,94.1490266240343,73.9453460465594
"63",220.323232323232,93.0624538296307,74.246042497373
"64",220.909090909091,91.9315361056477,74.5590108944427
"65",221.494949494949,91.0329906020952,74.8076729677105
"66",222.080808080808,90.0490967146353,75.0799542188703
"67",222.666666666667,89.2380766174456,75.3043946484665
"68",223.252525252525,88.463358820395,75.5187888364631
"69",223.838383838384,87.6015710326686,75.7572786371084
"70",224.424242424242,86.872133738307,75.9591419698141
"71",225.010101010101,86.0871648309386,76.1763730340009
"72",225.59595959596,85.2719908373004,76.4019630063848
"73",226.181818181818,84.5531512017983,76.6008935596004
"74",226.767676767677,83.9315719913786,76.7729084153334
"75",227.353535353535,83.3726727702765,76.9275773091374
"76",227.939393939394,82.6985719917337,77.1141269012518
"77",228.525252525253,82.2569180491792,77.2363495205719
"78",229.111111111111,81.7903637592182,77.3654630229766
"79",229.69696969697,81.165459563284,77.5383980299856
"80",230.282828282828,80.6474473225911,77.6817519249632
"81",230.868686868687,80.2570355040826,77.789793879249
"82",231.454545454545,79.8445923195802,77.9039327592034
"83",232.040404040404,79.4298037716739,78.0187206913475
"84",232.626262626263,79.0927248997412,78.1120033696517
"85",233.212121212121,78.5378002895439,78.2655723358682
"86",233.79797979798,78.2499458479771,78.3452327225223
"87",234.383838383838,77.8015063734202,78.4693331593256
"88",234.969696969697,77.2543749697554,78.62074544579
"89",235.555555555556,76.8465691585491,78.7336009863323
"90",236.141414141414,76.389470375603,78.8600977865568
"91",236.727272727273,76.1479835002683,78.9269264856603
"92",237.313131313131,75.7460672389618,79.0381521614012
"93",237.89898989899,75.4442135999812,79.1216866639896
"94",238.484848484848,75.1624979004151,79.1996482248112
"95",239.070707070707,74.8772061974827,79.2785994031955
"96",239.656565656566,74.4216950430272,79.4046568456018
"97",240.242424242424,73.8974288129282,79.5497414597981
"98",240.828282828283,73.440800295004,79.6761081196181
"99",241.414141414141,73.0662377541811,79.7797639696571
"100",242,72.8629924762436,79.8360097490796
